ascountry,occurrences,percentage
US,4873,46.9098960338853
BR,4866,46.8425105891413
FR,282,2.71467077396997
DE,136,1.3092029264536
NL,106,1.02040816326531
CA,26,0.250288794763188
CY,25,0.240662302656912
BG,22,0.211782826338082
GB,15,0.144397381594147
TR,7,0.0673854447439353
IL,4,0.0385059684251059
ES,3,0.0288794763188294
SG,2,0.0192529842125529
PT,2,0.0192529842125529
PL,2,0.0192529842125529
CZ,2,0.0192529842125529
AT,2,0.0192529842125529
SI,1,0.00962649210627647
RU,1,0.00962649210627647
PY,1,0.00962649210627647
NO,1,0.00962649210627647
KR,1,0.00962649210627647
EU,1,0.00962649210627647
CN,1,0.00962649210627647
CH,1,0.00962649210627647
BE,1,0.00962649210627647
BA,1,0.00962649210627647
AU,1,0.00962649210627647
AR,1,0.00962649210627647
AM,1,0.00962649210627647
