ascountry,occurrences,percentage
RU,32989,37.9362688163387
US,30812,35.4327901654803
CN,4973,5.71878701457008
BR,4867,5.59689048862107
DE,3529,4.0582343403213
FI,2534,2.91401695051691
FR,1492,1.71575110109362
ZA,1422,1.63525339527823
IN,1352,1.55475568946285
NL,841,0.967122437010545
BG,352,0.404788463528789
GB,274,0.315091019905933
SG,199,0.228843477960878
BZ,174,0.200094297312527
UA,157,0.180544854471648
CZ,151,0.173645051116043
AU,90,0.103497050334065
CA,79,0.0908474108487908
SK,69,0.0793477385894502
LT,61,0.0701480007819777
EE,53,0.0609482629745052
CY,48,0.0551984268448349
HK,44,0.0505985579410987
JP,40,0.0459986890373624
BY,37,0.0425487873595603
SE,31,0.0356489840039559
LV,30,0.0344990167780218
EU,23,0.0264492461964834
AT,22,0.0252992789705493
AM,17,0.019549442840879
LU,16,0.018399475614945
KZ,16,0.018399475614945
IT,16,0.018399475614945
TR,15,0.0172495083890109
PL,12,0.0137996067112087
IL,12,0.0137996067112087
RO,11,0.0126496394852747
VG,9,0.0103497050334065
AG,8,0.00919973780747249
SI,7,0.00804977058153843
DK,7,0.00804977058153843
IR,6,0.00689980335560436
VN,5,0.0057498361296703
NO,5,0.0057498361296703
CH,5,0.0057498361296703
TW,4,0.00459986890373624
ES,4,0.00459986890373624
BE,4,0.00459986890373624
PA,3,0.00344990167780218
KR,3,0.00344990167780218
AR,3,0.00344990167780218
SC,2,0.00229993445186812
PT,2,0.00229993445186812
NZ,2,0.00229993445186812
MY,2,0.00229993445186812
MD,2,0.00229993445186812
IS,2,0.00229993445186812
IE,2,0.00229993445186812
HU,2,0.00229993445186812
TJ,1,0.00114996722593406
TH,1,0.00114996722593406
PY,1,0.00114996722593406
MU,1,0.00114996722593406
MT,1,0.00114996722593406
MA,1,0.00114996722593406
LI,1,0.00114996722593406
KN,1,0.00114996722593406
GE,1,0.00114996722593406
BA,1,0.00114996722593406
