ascountry,occurrences,percentage
US,5391,50.4303086997194
CN,4954,46.3423760523854
SG,180,1.68381665107577
HK,37,0.346117867165575
NL,33,0.308699719363891
DE,33,0.308699719363891
AU,21,0.19644527595884
JP,7,0.0654817586529467
FR,7,0.0654817586529467
GB,6,0.0561272217025257
RU,5,0.0467726847521048
CA,4,0.0374181478016838
TW,2,0.0187090739008419
KR,2,0.0187090739008419
BG,2,0.0187090739008419
AT,2,0.0187090739008419
SE,1,0.00935453695042095
IL,1,0.00935453695042095
EU,1,0.00935453695042095
CH,1,0.00935453695042095
